doc_id,entity_type,entity_text
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Masyarakat Batavia
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Teluk Bronei
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Madjangon
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pulau Madoera
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Flores
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Ayabdhi
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pantai Barat Kalimantan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pandeglang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Bojolali
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Krawang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Jilolo
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kediaman Banjoewangi
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Disingkirkan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Spanyol
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pantai Timur
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Koppe
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Timur
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Wester Dept
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pantai Barat Sumatera
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Hulu
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Hoorn
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Dutch Registry
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pemerintahan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Tangkil
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Tenwixek
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Moen
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Portugal
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Divisi Zji
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pulau Bawjan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Republik Batavia
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Royal Lands
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Barnjok
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Dari
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Dessa Oeloe Djami
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Ngantang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Utara Sisi
